conus_code,DATE,PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,FIRE_START_DAY,YEAR,TEMP_RANGE,WIND_TEMP_RATIO,MONTH,SEASON,LAGGED_PRECIPITATION,LAGGED_AVG_WIND_SPEED,DAY_OF_YEAR,INC_NUM,CAUSE,ACRES,longitude,latitude,county,conus_name,DURATION,fire_occurrences,T2M_0404,T2M_RANGE_0404,T2M_MAX_0404,T2M_MIN_0404,QV2M_0404,RH2M_0404,PRECTOTCORR_0404,WS10M_0404,WS10M_MAX_0404,WS10M_MIN_0404,WS10M_RANGE_0404,WD10M_0404,T2M_0401,T2M_RANGE_0401,T2M_MAX_0401,T2M_MIN_0401,QV2M_0401,RH2M_0401,PRECTOTCORR_0401,WS10M_0401,WS10M_MAX_0401,WS10M_MIN_0401,WS10M_RANGE_0401,WD10M_0401,T2M_0403,T2M_RANGE_0403,T2M_MAX_0403,T2M_MIN_0403,QV2M_0403,RH2M_0403,PRECTOTCORR_0403,WS10M_0403,WS10M_MAX_0403,WS10M_MIN_0403,WS10M_RANGE_0403,WD10M_0403,T2M_0402,T2M_RANGE_0402,T2M_MAX_0402,T2M_MIN_0402,QV2M_0402,RH2M_0402,PRECTOTCORR_0402,WS10M_0402,WS10M_MAX_0402,WS10M_MIN_0402,WS10M_RANGE_0402,WD10M_0402,T2M_0405,T2M_RANGE_0405,T2M_MAX_0405,T2M_MIN_0405,QV2M_0405,RH2M_0405,PRECTOTCORR_0405,WS10M_0405,WS10M_MAX_0405,WS10M_MIN_0405,WS10M_RANGE_0405,WD10M_0405,T2M_0406,T2M_RANGE_0406,T2M_MAX_0406,T2M_MIN_0406,QV2M_0406,RH2M_0406,PRECTOTCORR_0406,WS10M_0406,WS10M_MAX_0406,WS10M_MIN_0406,WS10M_RANGE_0406,WD10M_0406,T2M_0407,T2M_RANGE_0407,T2M_MAX_0407,T2M_MIN_0407,QV2M_0407,RH2M_0407,PRECTOTCORR_0407,WS10M_0407,WS10M_MAX_0407,WS10M_MIN_0407,WS10M_RANGE_0407,WD10M_0407
not_used,1984-01-01,0.0,79.0,51.0,4.7,False,1984,28.0,0.0594936708860759,1,Winter,0.0,4.7,1,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,7.51,11.94,15.51,3.57,5.61,84.72,0.01,2.13,2.44,1.75,0.69,23.2,2.59,8.81,8.46,-0.35,4.12,79.57,0.0,2.06,2.59,1.22,1.37,12.8,-1.97,6.05,2.1,-3.95,3.34,89.63,0.02,1.25,2.57,0.21,2.36,75.8,8.71,11.44,16.42,4.98,6.0,86.44,0.05,3.34,4.81,1.36,3.45,17.8,6.11,12.5,14.18,1.68,4.12,63.23,0.07,3.18,4.67,0.27,4.4,60.3,13.77,7.39,18.51,11.12,5.32,54.97,0.01,8.67,12.0,6.45,5.55,30.6,6.13,10.36,12.6,2.24,2.85,46.5,0.0,5.88,9.39,3.55,5.84,31.5
not_used,1984-01-02,0.0,71.0,46.0,5.59,False,1984,25.0,0.0787323943661971,1,Winter,0.0,5.145,2,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,8.94,13.62,16.85,3.23,5.18,70.86,0.0,2.1,3.06,1.28,1.78,85.2,5.13,8.81,10.55,1.74,4.61,73.98,0.0,2.48,2.88,1.69,1.19,3.9,-1.53,8.55,3.31,-5.24,3.01,78.85,0.02,0.97,1.53,0.3,1.23,55.3,8.63,12.78,16.94,4.16,5.97,86.49,0.01,3.1,4.69,0.74,3.95,30.0,7.19,11.74,14.9,3.16,4.19,58.96,0.18,3.47,5.6,0.68,4.92,62.5,12.3,7.91,17.38,9.47,4.2,48.15,0.0,9.19,11.54,6.76,4.78,33.1,4.17,12.79,11.76,-1.03,1.97,37.85,0.0,6.41,10.54,4.62,5.92,39.7
not_used,1984-01-03,0.0,70.0,47.0,5.37,False,1984,23.0,0.0767142857142857,1,Winter,0.0,5.22,3,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,11.91,11.49,18.85,7.36,5.06,55.88,0.01,1.25,1.91,0.59,1.32,97.6,7.93,9.69,14.23,4.54,6.35,84.5,0.03,2.36,2.79,1.55,1.24,1.3,0.39,9.53,6.26,-3.27,2.8,63.38,0.09,0.79,1.71,0.17,1.54,36.5,10.2,14.42,18.78,4.36,7.51,93.91,0.67,3.38,4.2,2.22,1.98,18.2,8.81,13.03,16.5,3.47,4.73,59.32,0.06,2.61,4.48,0.51,3.97,65.2,13.03,9.39,19.1,9.71,4.75,51.24,0.0,7.02,8.75,4.37,4.38,33.7,5.44,14.29,14.12,-0.17,2.27,39.57,0.0,4.58,7.3,2.83,4.47,43.6
not_used,1984-01-04,0.0,76.0,45.0,4.7,False,1984,31.0,0.0618421052631579,1,Winter,0.0,5.09,4,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,13.28,11.88,20.37,8.49,5.07,51.25,0.0,1.62,2.21,0.79,1.42,122.9,6.79,10.01,13.15,3.14,6.02,87.89,0.0,2.05,2.72,0.95,1.77,17.0,1.26,8.18,6.61,-1.57,3.64,74.57,0.14,1.36,2.29,0.37,1.92,52.6,11.97,12.95,20.61,7.66,7.35,84.68,0.06,2.91,3.77,1.02,2.75,25.9,11.05,11.35,18.42,7.07,6.28,69.22,0.04,3.06,4.53,0.42,4.11,65.6,14.69,9.49,20.8,11.31,5.63,54.45,0.0,6.03,7.83,2.08,5.75,37.0,7.57,14.11,16.15,2.04,3.48,50.91,0.0,4.66,7.89,3.09,4.8,44.0
not_used,1984-01-05,0.0,74.0,49.0,5.14,False,1984,25.0,0.0694594594594594,1,Winter,0.0,5.1,5,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,12.48,12.86,20.22,7.36,5.79,62.41,0.01,1.43,2.77,0.2,2.57,86.7,6.18,10.4,13.18,2.78,5.69,85.38,0.16,2.27,2.78,1.2,1.58,12.9,-0.06,6.54,4.69,-1.85,4.1,92.84,0.9,1.18,1.85,0.09,1.76,59.9,10.59,12.37,18.43,6.06,7.04,87.79,0.04,3.01,4.22,1.39,2.83,28.9,10.54,12.03,17.61,5.58,5.98,67.8,0.0,2.38,3.92,0.59,3.33,80.4,15.01,8.53,20.29,11.76,7.0,66.22,0.06,4.49,8.2,0.33,7.87,38.3,7.58,11.97,14.13,2.16,4.64,68.54,0.01,3.86,6.1,1.53,4.57,46.6
not_used,1984-01-06,0.0,65.0,49.0,7.38,False,1984,16.0,0.1135384615384615,1,Winter,0.0,5.48,6,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,11.0,12.88,18.63,5.75,6.41,76.5,0.0,2.23,3.13,0.85,2.28,163.9,5.06,11.46,12.1,0.64,4.63,76.16,0.07,1.53,2.34,0.66,1.68,56.4,-0.83,6.36,3.62,-2.74,3.75,90.65,1.16,1.11,1.95,0.17,1.78,121.1,9.72,10.06,15.43,5.37,6.2,83.48,0.07,2.16,4.23,0.44,3.79,61.8,10.51,12.61,17.83,5.22,5.43,62.15,0.0,1.95,3.69,0.1,3.59,90.0,15.04,10.16,21.3,11.14,6.73,64.06,0.0,3.16,4.88,0.29,4.59,6.9,9.73,13.65,17.43,3.78,4.29,55.04,0.0,2.87,5.41,0.26,5.15,39.0
not_used,1984-01-07,0.0,59.0,54.0,5.82,False,1984,5.0,0.0986440677966101,1,Winter,0.0,5.528571428571429,7,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,9.71,9.94,16.32,6.38,6.22,79.62,0.01,1.22,2.12,0.47,1.65,339.8,3.5,7.5,7.76,0.26,5.17,94.28,0.1,1.05,1.51,0.19,1.32,72.2,2.21,10.7,8.94,-1.76,3.72,71.67,0.02,1.25,1.82,0.67,1.15,185.8,10.5,8.51,15.33,6.82,6.27,79.61,0.08,1.75,2.97,0.13,2.84,122.2,10.21,12.49,17.73,5.24,4.77,55.45,0.0,1.69,2.62,0.39,2.23,70.8,14.87,9.19,20.21,11.02,6.61,63.34,0.0,3.21,4.75,1.33,3.42,355.5,9.33,13.0,16.71,3.71,3.75,48.49,0.0,1.99,3.25,0.37,2.88,17.7
not_used,1984-01-08,0.0,59.0,55.0,3.36,False,1984,4.0,0.0569491525423728,1,Winter,0.0,5.337142857142857,8,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,7.45,8.72,13.09,4.37,6.03,90.42,0.0,1.56,2.46,0.79,1.67,359.5,2.26,9.8,8.75,-1.05,4.53,90.7,0.22,1.46,2.03,0.33,1.7,15.1,1.05,7.77,6.12,-1.65,3.89,81.63,0.05,1.39,2.04,0.7,1.34,357.5,9.03,8.7,14.39,5.69,5.9,82.94,0.05,1.96,2.5,1.09,1.41,355.2,8.19,10.97,14.44,3.47,4.36,58.67,0.01,1.51,2.39,0.34,2.05,84.6,13.45,6.84,17.54,10.7,6.82,71.45,0.0,2.37,3.64,0.73,2.91,18.0,9.44,14.28,18.27,3.99,4.01,53.08,0.0,1.7,2.99,0.98,2.01,271.8
not_used,1984-01-09,0.0,61.0,54.0,6.71,False,1984,7.0,0.11,1,Winter,0.0,5.497142857142857,9,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,7.22,12.72,15.31,2.59,5.46,84.38,0.0,1.52,2.43,0.54,1.89,94.8,2.91,10.24,9.26,-0.98,4.24,82.79,0.05,1.18,1.89,0.3,1.59,67.6,-0.63,8.42,5.0,-3.42,3.59,86.97,0.08,1.24,2.93,0.06,2.87,105.3,7.6,10.73,14.03,3.3,5.33,83.15,0.14,2.13,3.39,0.17,3.22,91.4,7.29,13.6,15.35,1.75,4.16,59.34,0.0,2.2,3.18,1.04,2.14,94.0,14.25,9.86,20.43,10.57,6.04,60.98,0.01,3.07,6.18,0.8,5.38,24.0,8.05,14.26,16.18,1.92,3.32,48.04,0.0,3.57,6.35,1.64,4.71,35.1
not_used,1984-01-10,0.0,70.0,47.0,4.7,False,1984,23.0,0.0671428571428571,1,Winter,0.0,5.40142857142857,10,not_used,999.0,0.0,0.0,0.0,not_used,not_used,0.0,0.0,6.41,10.14,12.96,2.82,5.52,88.59,0.01,2.31,4.08,0.51,3.57,325.7,1.26,7.2,5.73,-1.47,4.42,95.46,1.56,1.06,2.06,0.36,1.7,299.8,-0.34,7.19,3.89,-3.3,3.64,82.77,0.35,2.01,2.93,1.4,1.53,245.8,6.51,6.5,10.62,4.12,5.29,88.53,0.53,2.29,4.06,0.72,3.34,105.9,8.07,12.78,14.97,2.19,4.14,56.1,0.12,1.74,3.25,0.31,2.94,115.3,14.27,10.22,20.86,10.64,5.98,59.71,0.0,4.18,6.8,0.71,6.09,18.5,7.49,15.48,16.52,1.04,3.19,48.04,0.01,2.9,4.32,0.29,4.03,58.2
